t,sigma(t),X(t)
0.327,0.048268579663466656,1.047969328246863
0.328,0.04934379862043575,1.0538380858880858
0.329,0.05019259491805078,1.0585636417874082
0.33,0.05105234165629263,1.0633818239987634
0.331,0.051001683767247605,1.0633951116773488
0.332,0.04968712198591107,1.0566874453782356
0.333,0.049764928510641286,1.0573577439147934
0.334,0.048780236266049146,1.0524124951799156
0.335,0.05011599837300793,1.0596852065445452
0.336,0.04987743873183146,1.0586879810594128
0.337,0.04868180877831408,1.052621711434637
0.338,0.048207286440946476,1.0503665909376299
0.339,0.048756073316480915,1.053483074486953
0.34,0.04794255756573717,1.0494416630487844
0.341,0.04678010980825623,1.0435720304383083
0.342,0.04709311402379029,1.0454157328594433
0.343,0.04740804847259108,1.0472776903656396
0.34400000000000003,0.046687728060318165,1.0437269149046515
0.34500000000000003,0.04602395882446165,1.0404720209390381
0.34600000000000003,0.04632073675933642,1.0422140302386604
0.34700000000000003,0.04433066127627508,1.0320466421012622
0.34800000000000003,0.042443454651363476,1.02247846213094
0.34900000000000003,0.04150001098991117,1.0177949315531216
0.35000000000000003,0.04122050350296873,1.0164972050823131
0.35100000000000003,0.04161606717862481,1.0186279112324972
0.352,0.043514738803770686,1.028424666148833
0.353,0.0446357169749947,1.034345936284167
0.354,0.04440810006572544,1.033344121777357
0.355,0.0443695311907622,1.0333165078527673
0.356,0.0430208437938324,1.0265194613783146
0.357,0.042987495628255754,1.0264974649437864
0.358,0.042600015933809396,1.024657379920283
0.359,0.043013484224567404,1.0269181242184333
0.36,0.04191937046811398,1.0214494088220702
0.361,0.0425861159244591,1.0249861956214945
0.362,0.04457882827742961,1.0353409685060952
0.363,0.04441985919270809,1.034692676299806
0.364,0.04494206708134539,1.0375663668958857
0.365,0.045852569998690695,1.0424705753913637
0.366,0.04529164320905825,1.0397425910634108
0.367,0.0455773925751135,1.0414146234561197
0.368,0.04557766291648733,1.0416072982785927
0.369,0.04569281460050211,1.042398319196832
0.37,0.0446306816516718,1.0370557437311962
0.371,0.04464953823807925,1.0373292600868382
0.372,0.04530111762702544,1.0408848513708677
0.373,0.04723863075323921,1.051155347963545
0.374,0.048535535541512964,1.0581908393997317
0.375,0.051510063547953844,1.074170233306231
0.376,0.05037407481195858,1.0683618804163755
0.377,0.051581206428732526,1.0750832326155557
0.378,0.05180981547691278,1.076606371124106
0.379,0.05492678409068179,1.0936834909408701
0.38,0.053683901886882796,1.0872411382125606
0.381,0.05241233356513092,1.0806605208950395
0.382,0.05150721961523618,1.0760791851671563
0.383,0.04842412045755829,1.0597842391313617
0.384,0.047667129157534516,1.056012896561993
0.385,0.04659589635498338,1.0505837683871275
0.386,0.046781429833230435,1.0517673621923878
0.387,0.04722858688217324,1.0543310521763825
0.388,0.04978562506609895,1.0680306289303665
0.389,0.05109748595932936,1.075299740276997
0.39,0.0502394231264018,1.07097289340063
0.391,0.04893511628604682,1.0642600965056705
0.392,0.04959654166135812,1.068028804999935
0.393,0.047708208524444184,1.0582053777059757
0.394,0.050215102390003694,1.071697594108808
0.395,0.05185602131235745,1.0807618206841136
0.396,0.05114473591732031,1.0772184494010444
0.397,0.048660986620010865,1.0641285481393992
0.398,0.050523856734143495,1.0742848733905952
0.399,0.05032945500935428,1.073517672017912
0.4,0.05205476102197374,1.0830520890434656
0.401,0.04971786997963717,1.0707013596376387
0.402,0.048843466925350465,1.0662833811271217
0.403,0.04882426596890815,1.0664290857886642
0.404,0.048863447952202675,1.0668858095387135
0.405,0.04820764452311114,1.0636360055606013
0.406,0.049047932495342755,1.068342121066217
0.40700000000000003,0.047525389222397324,1.0604609640410556
0.40800000000000003,0.047306504034908076,1.0595261198754076
0.40900000000000003,0.04745006252922921,1.0605087138377607
0.41000000000000003,0.048136444494063305,1.0643728478262457
0.41100000000000003,0.04909947812452906,1.0697343225090445
0.41200000000000003,0.047496083324992916,1.061411274054315
0.41300000000000003,0.04535905180706429,1.0502954148613122
0.41400000000000003,0.04706398307430217,1.059438280679081
0.41500000000000004,0.047498747181630316,1.0619595110102371
0.41600000000000004,0.04644454705499543,1.0565875681947505
0.417,0.048539440886700605,1.0678625592724222
0.418,0.04867500418370834,1.0688299446127802
0.419,0.050294510882020915,1.0777307954441466
0.42,0.05035939370394784,1.0783546202711447
0.421,0.05325310837890153,1.0942322751815434
0.422,0.055775259442900356,1.1083583235786365
0.423,0.05535606669278071,1.106408350143752
0.424,0.05675572827928632,1.1145168285184066
0.425,0.0576778670793429,1.1200470943728427
0.426,0.059703673844286466,1.1318010946413133
0.427,0.058153405761486046,1.1234758087796537
0.428,0.05914528900795507,1.1294658642065405
0.429,0.06071583647105879,1.1387725687873431
0.43,0.05791285642473737,1.1232805215008672
0.431,0.05605818663777866,1.113278094766078
0.432,0.052956383624674405,1.0963917342430953
0.433,0.05252541364129753,1.0943518928577898
0.434,0.05352790655782807,1.100152336302892
0.435,0.05568565485432374,1.1123548520543118
0.436,0.05574918112119604,1.1130811265097318
0.437,0.05813395736227094,1.126727633490789
0.438,0.05597502145205091,1.1149841229722048
0.439,0.05337827562825791,1.1008861479891319
0.44,0.053256974017435905,1.100549459663364
0.441,0.05377776486857952,1.103744144392324
0.442,0.053688479282524515,1.1035898835022766
0.443,0.050617684015460164,1.0869823465442832
0.444,0.05045902008782341,1.086401838863355
0.445,0.04857439591893452,1.076443623713847
0.446,0.04948213377141554,1.0815753589999648
0.447,0.04996944372522348,1.0844726633606039
0.448,0.04861075086646971,1.0773759581486648
0.449,0.04786836808781585,1.0736237241966307
0.45,0.04637908750167964,1.0658631667224907
0.451,0.04627457855904254,1.0655147803924931
0.452,0.04755523398620149,1.0725444031446019
0.453,0.0461730489463837,1.0653609333009777
0.454,0.04683953660962624,1.0691163668668386
0.455,0.046093207565291144,1.0653433994296588
0.456,0.04499833383558355,1.0597152216407526
0.457,0.04483974519618193,1.0590603513438768
0.458,0.04343877797196713,1.0518245969092386
0.459,0.042698662149682404,1.048091674105539
0.46,0.0411250783922382,1.0399926097794794
0.461,0.04364161394497308,1.0532000520241156
0.462,0.04367728057735901,1.0535507227446843
0.463,0.042741368503734944,1.0487840366331485
0.464,0.04301293119063296,1.0503560946445096
0.465,0.042856553391688125,1.0496873381426126
0.466,0.04255866860228319,1.0482738547369983
0.467,0.04335232052176594,1.0525787376882307
0.468,0.04433978727132453,1.0579338568053438
0.46900000000000003,0.043620266348137794,1.0543024905827139
0.47000000000000003,0.042848799858292104,1.050398378460956
0.47100000000000003,0.04248016130705057,1.0486122172377663
0.47200000000000003,0.03947208340759653,1.0329845531923474
0.47300000000000003,0.0375697746688343,1.023254393989666
0.47400000000000003,0.03925269430774971,1.031929692924096
0.47500000000000003,0.04131614560412352,1.0426680017025398
0.47600000000000003,0.04099204820654364,1.041103223116857
0.47700000000000004,0.04172735363094326,1.0450504700445373
0.47800000000000004,0.042124286309710636,1.0472561260800106
0.47900000000000004,0.04611449933535486,1.0682880969477404
0.48,0.04761671002773214,1.0765168754691878
0.481,0.04741732118227004,1.0756742926253395
